time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.711082115336949e-07,-8.514057803825825e-08,10.004931081513893,6.2830477779851375,0.0003787327115247763,0.0,-3.939732188659295e-05,-1.0009665188425894e-05,0.16435921621847355,-0.007323795870355769,0.016631949634672273,0.0,456.30937883327005,457.6348473716741,457.0481497698883,456.464223838528
0.12000000000000001,-1.6024563147986252e-05,-5.654604696770838e-06,10.020205371179703,6.282692421722906,0.0015525704695047438,0.0,-0.0006033734934181574,-0.00022074430867995135,0.3447458771959949,-0.0032578730359466386,0.024862979083004857,0.0,461.4219969883536,462.0711716190776,461.5893659052067,461.91016527710383
0.18,-8.218704957800555e-05,-2.759311823126607e-05,10.039652901895062,6.28248715866135,0.0028615303181682705,0.0,-0.0017162978899714775,-0.0005267928624292924,0.30351726715152555,-0.0037494381870615484,0.014894693261928238,0.0,391.03495254952446,390.10549132527615,388.75223873048486,388.70624817665976
0.23999999999999996,-0.00025719002667386984,-7.615696330068262e-05,10.064022896970265,6.281702966644216,0.003660592657279693,0.0,-0.004216692305116523,-0.001132005049813181,0.508746201321449,-0.04810041376759863,0.009960954796394255,0.0,470.1240718397759,469.74157159705527,470.2429349399447,466.795195141291
0.3,-0.0005903166957410452,-0.00018686000290910848,10.098059848734371,6.278648563684715,0.0045252719017154774,0.0,-0.0069650220621529394,-0.0028677237651842016,0.6257604439066463,-0.05720840714829562,0.022086538018915983,0.0,441.5855573581841,442.58442636241483,443.4031570947097,442.6527027356081
0.36000000000000004,-0.001115312652327929,-0.0004750118225495514,10.14041575780271,6.275341286243798,0.005672595103945355,0.0,-0.01067238455934728,-0.007110308023315282,0.7860034590391072,-0.05124499413885593,0.012413896266802775,0.0,456.0881870243892,455.3150581256945,456.1557137194235,456.62964370912744
0.4200000000000001,-0.001893863494902676,-0.0011007839963070492,10.193700394341697,6.27289073636878,0.006025474412739484,0.0,-0.015348815331210868,-0.014065329332249557,0.989993338970868,-0.02554602347961366,-0.012256588701885313,0.0,470.6149315075998,468.7016994048461,468.1426792005683,470.136883302145
0.48000000000000015,-0.0029415495901462217,-0.002172482398717588,10.256978998953524,6.27142206684991,0.005098097870859242,0.0,-0.01948596294866186,-0.02181618868487354,1.1191742883713478,-0.02242296956278349,-0.022777774664676006,0.0,446.8905937491562,446.03236230994327,447.5669769614984,447.82097262837664
0.5400000000000001,-0.004215385770532919,-0.003740707652430749,10.328076624712864,6.2703422820381025,0.003361831355964462,0.0,-0.022813769585113212,-0.03058443147933904,1.2506108213708609,-0.010357087502612796,-0.045592771254124934,0.0,449.4681402776285,447.61517227748215,447.050206542398,448.0322252629915
0.6000000000000002,-0.005645992879148598,-0.005856287628895272,10.407110847691948,6.269852091642113,0.0005022300229233778,0.0,-0.024574053193816114,-0.03999205709559926,1.3837113096733298,-0.004119493637747892,-0.0521515467268692,0.0,448.0274004756517,447.49250638236003,449.69598654657455,450.20103083642516
0.6600000000000003,-0.007119113660301067,-0.008582393572006485,10.496923931922698,6.270008921638258,6.280950133645611,0.0,-0.024179067292781846,-0.050876671097730974,1.6097674723124882,0.013495547077950507,-0.035017239087556544,0.0,476.9819375257193,478.28741771449563,475.87650647142164,477.2228158883463
0.7200000000000003,-0.008520755222425824,-0.011879307076346761,10.594598500569733,6.270714122829016,6.278420094616717,0.0,-0.022334166852600777,-0.0589495383040216,1.6460001219812879,0.008019091235806726,-0.06297573371080031,0.0,419.40415516088626,416.9676455694238,419.6585466777444,419.18283937095623
0.7800000000000004,-0.009735380606542124,-0.01570100057641463,10.698763439678654,6.27182911561993,6.27507781231591,0.0,-0.01775297721914475,-0.06833977891157372,1.8258935830732304,0.034059620574703825,-0.0441280841018045,0.0,463.2340365539207,464.7115789456227,463.3594658474557,465.4019166401142
0.8400000000000004,-0.010572707680075451,-0.020093613255886468,10.817276596465634,6.273959711683283,6.271852761412502,0.0,-0.00980224232298531,-0.07780107863548501,2.124040309529048,0.03826274040937096,-0.0924025169437811,0.0,500.8569081091515,497.33152680264016,498.5580974842654,498.86547855242736
0.9000000000000005,-0.010909350366071898,-0.024941238925790348,10.94744026999757,6.275934154300355,6.266628224629045,0.0,-0.0008814480257909583,-0.08356729789394839,2.2145728403264124,0.01915728151998537,-0.0781266980461413,0.0,437.3255533498168,438.50647951725745,439.476221971081,437.8902549125133
0.9600000000000005,-0.010594393077555015,-0.030104095856801807,11.083762616427155,6.276965718639158,6.261696531241132,0.0,0.011875391092995275,-0.08841253919939746,2.3292705353787895,0.012941983703840372,-0.09190806674375394,0.0,446.51143675304314,445.3802039081187,446.89018266879685,446.3832187900532
1.0200000000000005,-0.009324941995844806,-0.03555982464159563,11.230655922654801,6.277605178473582,6.256925681839014,0.0,0.03104826928556125,-0.09335498289004439,2.566657362913204,0.005645322690372785,-0.06212889206310061,0.0,481.8549610955485,484.09592866751666,484.3893512773364,483.8402138881476
1.0800000000000005,-0.006918850899145304,-0.04127228269319568,11.38714714239622,6.278213645797324,6.253054855805569,0.0,0.0495271008245224,-0.09701099807519865,2.6495174119400806,0.017884458082403742,-0.06976725359288802,0.0,438.6740784606543,438.03620832682077,436.89970784981506,437.9188390993145
1.1400000000000006,-0.0032926934572784666,-0.047194008563970304,11.549630758815331,6.27954658835718,6.2487513234761725,0.0,0.07177943881998958,-0.10025181331354138,2.7663135711785873,0.029711713339080518,-0.0759593713386097,0.0,450.161785667733,449.6565385726809,447.57271610904763,448.53427893317746
